name,latitude,longitude
Vake Swimming Pool,41.712112, 44.743661
Arena swimming pool,41.718373, 44.741713
Olympic, 41.793751, 44.784706
Neptune Sport Complex, 41.711907, 44.745259
Olympic Pool, 41.793812, 44.784747
