place_id,name,latitude,longitude,types
ChIJuxPuluZyREARacaeUe27oyE,The Embassy of the Republic of Poland in Tbilisi,41.731421,44.764641,"embassy,point_of_interest,establishment"
ChIJT4EwjmkMREARGj_d_qiyErA,Embassy of Switzerland,41.7063638,44.7687768,"embassy,point_of_interest,establishment"
ChIJAWn72TJzREARaDUf2mTz-WM,Embassy of the Netherlands,41.7088094,44.7698911,"embassy,point_of_interest,establishment"
ChIJO8hGWMwMREAR3EcZPx3d1y8,Embassy of Slovakia,41.7064602,44.7724658,"embassy,point_of_interest,establishment"
ChIJa2WD9hlzREART1yv1oADsqM,პოლონეთის საკონსულო,41.7314247,44.7646759,"embassy,point_of_interest,establishment"
ChIJ6bfpTQANREARyCI3g5ogeEM,American embassy,41.7019698,44.8082935,"point_of_interest,establishment"
ChIJH9dfGQANREARAklu6AlQrGo,embassy usa tbilisi,41.6888546,44.8072445,"point_of_interest,establishment"
ChIJ52k1XABzREARws1MCaoOts8,ინდოეთის საელჩო(Embassy of India),41.7114572,44.7430566,"point_of_interest,establishment"
ChIJNxedfuZyREARljTUgzKx9ag,Embassy of the State of Qatar,41.7323177,44.7654259,"point_of_interest,establishment"
ChIJ8wP4LwANREARsMoZdXse9Tg,"Embassy of India, Tbilisi",41.7028858,44.7891824,"point_of_interest,establishment"
ChIJgXEr-GdzREARDFzlf_BIHAk,Korean Consulate,41.7126011,44.7613148,"point_of_interest,establishment"
ChIJM9irUQANREARe7eAiqRSHxE,Honorary Consulate of Lebanon in Georgia,41.7190223,44.8023396,"point_of_interest,establishment"
ChIJQUsJNU1tREARVMvELQQoNBQ,Honorary consulate of the Slovak Republic in Tbilisi,41.7740192,44.7751446,"embassy,point_of_interest,establishment"
