place_id,name,latitude,longitude,types
ChIJ5eyi7iANREARAEjlbYTbL_w,The Paloma Theater,41.7074079,44.8033666,"movie_theater,point_of_interest,establishment"
ChIJq1vSU9JyREARIWtw4xrxtJA,Muscomedy and Drama Theatre,41.7203989,44.7892508,"transit_station,point_of_interest,establishment"
ChIJ-ZzdTABzREARLjP-S5zOlOM,Karada - City theatre bar,41.7209195,44.7951742,"bar,point_of_interest,establishment"
ChIJ94dlWrptREARAhbyC1-rHDw,Theatre - თეატრი,41.7710223,44.7796443,"point_of_interest,establishment"
ChIJfUpajklsREARZzyIwVWlsbg,Akhmeteli Theater,41.7923436,44.81266050000001,"point_of_interest,establishment"
ChIJfSR5a0lsREARpbkjzOqXJLs,Akhmeteli Theatre,41.79169,44.815683,"subway_station,transit_station,point_of_interest,establishment"
ChIJ_Y16lElsREARLCD4UdVPhDY,Sandro Akhmeteli Theatre,41.7926926,44.813097,"transit_station,point_of_interest,establishment"
ChIJkaydEElsREAR9iVX_pqUQec,Metro Station Akhmeteli Theatre,41.7923431,44.81621639999999,"transit_station,point_of_interest,establishment"
ChIJB7eq50lsREARHWreyy5OM34,Sandro Akhmeteli Theatre,41.7930765,44.8128757,"transit_station,point_of_interest,establishment"
ChIJkU5nBUlsREAR3F2-IoUb_rw,Metro Station Akhmeteli Theatre,41.7924161,44.8160722,"transit_station,point_of_interest,establishment"
ChIJkZlwF0lsREARdT-bgLSWL3E,Metro Station Akhmeteli Theatre,41.7921266,44.8163946,"transit_station,point_of_interest,establishment"
ChIJwTL2SUlsREARUlUpalg5pKY,Metro Station Akhmeteli Theatre,41.7911148,44.8170036,"transit_station,point_of_interest,establishment"
ChIJ1fJCGtoNREARS2dweGC6xs0,Tbilisi Movie Nights,41.6873101,44.811025,"movie_theater,point_of_interest,establishment"
ChIJDzEKgyANREARQH9TzHSG3ls,Art Cinema,41.6994292,44.7941255,"movie_theater,point_of_interest,establishment"
ChIJ0zd7JVINREAR0dUstm2VD8c,FOMO Cinema,41.6975316,44.8038014,"movie_theater,point_of_interest,establishment"
ChIJc4aTxBBtREARLRJHGcD8gro,Fourth Floor Theater,41.7667781,44.7894094,"point_of_interest,establishment"
ChIJj0ACSYNyREAR_kyAoPN5vs4,Sakartvelo Cinema,41.750936,44.7897004,"point_of_interest,establishment"
