place_id,name,keyword,latitude,longitude
ChIJT7paYGANREARJO0VE6wyXus,Alfa Shaurma,fast food,41.6883519,44.870329
ChIJr9v3DgANREARTnhyfftnTqc,საშაურმ,fast food,41.685166,44.8552103
ChIJw9G8QcQNREARJtfP8fg51yY,თურქული სასადილო,fast food,41.68717609999999,44.8702028
ChIJ49sME4YNREAROjAB6OFXSYQ,ჩვენი შაურმა ვარკეთილი,fast food,41.6916086,44.8810828
ChIJ1QZM-ukNREARkRSXFXqc7t8,KFC,fast food,41.6893524,44.8980884
ChIJoxVPEeMNREAR-YAQ9KqcVMo,McDonald’s,fast food,41.6894342,44.8975802
ChIJC4j1bOMNREARWnzE71DN-50,Wendy's,fast food,41.6894096,44.8967071
ChIJZUumjoANREARBR1dwdeK6ps,مطعم كنتاكي,fast food,41.6893355,44.898094
ChIJV-bONvkPREARYknkFgXCy2c,რჩეული,fast food,41.6828209,44.9000969
ChIJuwCNEwANREARuCShIJ05gvo,McDonald’s,fast food,41.68745,44.8986497
ChIJI7jGFAANREARQZM0N6f5L1U,მაკდონალდსი,fast food,41.6874222,44.8987969
ChIJ_SN1PuMNREARTnTN141qC3s,Sakhachapure,fast food,41.6896795,44.8975843
ChIJH7FuymYNREARZOg7bf8IX2o,მაკდონალდსი,fast food,41.6888554,44.9244876
ChIJCaM18DsPREARD-JSfZrCy9s,რესტორანი მამაპაპური,fast food,41.6893989,44.9072992
ChIJFWYO4Rp1REARz9lutjj-or4,ხათოს მეგრული სამზარეულო,fast food,41.6959283,44.6991729
ChIJxRnfq_NzREARvLC-paJ_vbw,Gog's bakery,fast food,41.7105902,44.72819519999999
ChIJ1ahDGgBzREAR1ZSgTXeKBpA,Jersey,fast food,41.7086617,44.7543712
ChIJ1SHEnf9zREARg3uucDDP4n8,EatBlu,fast food,41.7104332,44.7575629
ChIJE0oEMc5zREAR-Xq9T2EA7GU,FryDay,fast food,41.710537,44.7519862
ChIJbVKc4-RzREARo05ui2CVPMc,საცხობი,fast food,41.7091733,44.7588307
ChIJt6biADFzREAR9qWv6nMXUns,მოსესთან•Mosestan,fast food,41.708193,44.7591398
ChIJQUekP1dzREARpcbGGXsgezw,Pasta Lab,fast food,41.7090259,44.7599724
ChIJz8yDTzdzREAR3Tahi11IALk,Dunkin',fast food,41.7112901,44.7579407
