place_id,name,latitude,longitude,types
ChIJrQMjAOgMREAR7uMnU0QXRc4,Supreme Court of Georgia,41.6989018,44.7946903,"courthouse,point_of_interest,establishment"
ChIJG_8renxyREAR1hb_V7KoCJg,Tbilisi's Court of Appeals,41.7564976,44.7707844,"courthouse,point_of_interest,establishment"
ChIJr2qo0uRzREARfSNox-CRGwM,Tbilisi City Court,41.7260762,44.7699344,"local_government_office,courthouse,point_of_interest,establishment"
ChIJ1aS4X_NtREARRiaqrAxNLrM,Tbilisi's City Court,41.7718601,44.7660815,"courthouse,point_of_interest,establishment"
ChIJce3uNPNtREARxFi5KMtXkyA,Tbilisi City Court,41.772245,44.768824,"transit_station,point_of_interest,establishment"
ChIJf6tFNvNtREAR6ujx_uOvwnY,Tbilisi City Court,41.7722519,44.7683725,"transit_station,point_of_interest,establishment"
ChIJEx52zIxtREARARXpSq5AAXY,Tbilisi City Court,41.772127,44.7691317,"transit_station,point_of_interest,establishment"
